Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2011-2012,Ventura,Ventura County Medical Center,106560481,30-day Readmission,11.46,15.0,131.0,As Expected,"(34.27634, -119.2517)"
2011-2012,Ventura,Ventura County Medical Center,106560481,30-day Mortality,8.56,10.0,140.0,As Expected,"(34.27634, -119.2517)"
2011-2012,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Readmission,13.0,33.0,280.0,As Expected,"(34.20539, -118.89297)"
2011-2012,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Mortality,10.02,37.0,297.0,As Expected,"(34.20539, -118.89297)"
2011-2012,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Readmission,11.84,16.0,146.0,As Expected,"(34.24177, -119.018)"
2011-2012,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Mortality,13.17,25.0,151.0,As Expected,"(34.24177, -119.018)"
2011-2012,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Readmission,15.84,18.0,115.0,As Expected,"(34.28945, -118.74405)"
2011-2012,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Mortality,11.41,15.0,123.0,As Expected,"(34.28945, -118.74405)"
2011-2012,Ventura,Saint John’s Regional Medical Center,106560529,30-day Readmission,12.39,37.0,286.0,As Expected,"(34.21687, -119.15819)"
2011-2012,Ventura,Saint John’s Regional Medical Center,106560529,30-day Mortality,12.33,34.0,305.0,As Expected,"(34.21687, -119.15819)"
2011-2012,Yolo,Woodland Memorial Hospital,106571086,30-day Readmission,8.05,8.0,112.0,As Expected,"(38.66284, -121.7933)"
2011-2012,Yolo,Woodland Memorial Hospital,106571086,30-day Mortality,17.96,24.0,118.0,Worse,"(38.66284, -121.7933)"
2011-2012,Yolo,Sutter Davis Hospital,106574010,30-day Readmission,7.14,6.0,82.0,As Expected,"(38.56154, -121.77244)"
2011-2012,Yolo,Sutter Davis Hospital,106574010,30-day Mortality,12.08,12.0,87.0,As Expected,"(38.56154, -121.77244)"
2011-2012,Yuba,Rideout Memorial Hospital,106580996,30-day Readmission,11.66,37.0,315.0,As Expected,"(39.138222, -121.594363)"
2011-2012,Yuba,Rideout Memorial Hospital,106580996,30-day Mortality,11.0,36.0,331.0,As Expected,"(39.138222, -121.594363)"
2012-2013,Alameda,Alameda Hospital,106010735,30-day Readmission,17.96,22.0,117.0,As Expected,"(37.762953, -122.25362)"
2012-2013,Alameda,Alameda Hospital,106010735,30-day Mortality,10.03,13.0,123.0,As Expected,"(37.762953, -122.25362)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Readmission,9.02,26.0,296.0,As Expected,"(37.85633, -122.25784)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Mortality,6.3,15.0,300.0,As Expected,"(37.85633, -122.25784)"
2012-2013,Alameda,Alameda County Medical Center,106010846,30-day Readmission,8.21,14.0,183.0,As Expected,"(37.79917, -122.2312)"
2012-2013,Alameda,Alameda County Medical Center,106010846,30-day Mortality,12.94,9.0,188.0,As Expected,"(37.79917, -122.2312)"
2012-2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Readmission,10.78,64.0,504.0,As Expected,"(37.82425, -122.25792)"
2012-2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Mortality,8.16,49.0,529.0,As Expected,"(37.82425, -122.25792)"
2012-2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Mortality,10.69,59.0,419.0,As Expected,"(37.62593, -122.09338)"
2012-2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Readmission,9.4,43.0,397.0,As Expected,"(37.62593, -122.09338)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Readmission,11.73,59.0,441.0,As Expected,"(37.82106, -122.26257)"
2012-2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Mortality,9.53,41.0,462.0,As Expected,"(37.82106, -122.26257)"
2012-2013,Alameda,Saint Rose Hospital,106010967,30-day Readmission,21.1,22.0,107.0,Worse,"(37.63291, -122.08962)"
2012-2013,Alameda,Saint Rose Hospital,106010967,30-day Mortality,14.0,13.0,113.0,As Expected,"(37.63291, -122.08962)"
2012-2013,Alameda,Washington Hospital – Fremont,106010987,30-day Mortality,8.74,35.0,347.0,As Expected,"(37.55847, -121.98006)"
2012-2013,Alameda,Washington Hospital – Fremont,106010987,30-day Readmission,13.0,44.0,330.0,As Expected,"(37.55847, -121.98006)"
2012-2013,Alameda,San Leandro Hospital,106013619,30-day Readmission,5.36,4.0,65.0,As Expected,"(37.71364, -122.14067)"
2012-2013,Alameda,San Leandro Hospital,106013619,30-day Mortality,12.69,9.0,68.0,As Expected,"(37.71364, -122.14067)"
2012-2013,Alameda,Valleycare Medical Center,106014050,30-day Readmission,10.57,10.0,111.0,As Expected,"(37.69206, -121.88095)"
2012-2013,Alameda,Valleycare Medical Center,106014050,30-day Mortality,9.02,7.0,112.0,As Expected,"(37.69206, -121.88095)"
2012-2013,Alameda,Eden Medical Center,106014233,30-day Mortality,10.86,49.0,399.0,As Expected,"(37.6983769, -122.0874055)"
2012-2013,Alameda,Eden Medical Center,106014233,30-day Readmission,11.66,45.0,374.0,As Expected,"(37.6983769, -122.0874055)"
2012-2013,Amador,Sutter Amador Hospital,106034002,30-day Readmission,7.83,8.0,107.0,As Expected,"(38.34743, -120.77272)"
2012-2013,Amador,Sutter Amador Hospital,106034002,30-day Mortality,11.5,13.0,111.0,As Expected,"(38.34743, -120.77272)"
2012-2013,Butte,Feather River Hospital,106040875,30-day Readmission,12.08,15.0,135.0,As Expected,"(39.75641, -121.57218)"
2012-2013,Butte,Feather River Hospital,106040875,30-day Mortality,7.63,10.0,136.0,As Expected,"(39.75641, -121.57218)"
2012-2013,Butte,Oroville Hospital,106040937,30-day Readmission,16.88,26.0,166.0,As Expected,"(39.50485, -121.5428)"
2012-2013,Butte,Oroville Hospital,106040937,30-day Mortality,6.25,8.0,172.0,As Expected,"(39.50485, -121.5428)"
2012-2013,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Mortality,9.48,52.0,464.0,As Expected,"(39.74224, -121.84922)"
2012-2013,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Readmission,11.2,43.0,438.0,As Expected,"(39.74224, -121.84922)"
2012-2013,Calaveras,Mark Twain Medical Center,106050932,30-day Readmission,24.68,9.0,41.0,As Expected,"(38.19021, -120.67105)"
2012-2013,Calaveras,Mark Twain Medical Center,106050932,30-day Mortality,15.1,7.0,46.0,As Expected,"(38.19021, -120.67105)"
2012-2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Mortality,8.25,20.0,249.0,As Expected,"(37.95279, -122.33866)"
2012-2013,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Readmission,12.39,33.0,238.0,As Expected,"(37.95279, -122.33866)"
2012-2013,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Readmission,17.38,17.0,109.0,As Expected,"(38.00646, -122.13101)"
2012-2013,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Mortality,14.21,6.0,113.0,As Expected,"(38.00646, -122.13101)"
2012-2013,Contra Costa,Sutter Delta Medical Center,106070934,30-day Readmission,13.99,25.0,163.0,As Expected,"(37.98222, -121.8054)"
2012-2013,Contra Costa,Sutter Delta Medical Center,106070934,30-day Mortality,6.48,10.0,167.0,As Expected,"(37.98222, -121.8054)"
2012-2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Readmission,10.51,42.0,408.0,As Expected,"(37.91434, -122.04183)"
2012-2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Mortality,9.18,64.0,444.0,As Expected,"(37.91434, -122.04183)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Mortality,9.39,46.0,346.0,As Expected,"(37.8923, -122.05828)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Readmission,11.38,42.0,326.0,As Expected,"(37.8923, -122.05828)"
2012-2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Mortality,8.83,30.0,307.0,As Expected,"(37.98615, -122.03874)"
2012-2013,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Readmission,13.14,42.0,293.0,As Expected,"(37.98615, -122.03874)"
2012-2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Mortality,9.62,17.0,144.0,As Expected,"(37.77713, -121.96076)"
2012-2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission,12.4,16.0,132.0,As Expected,"(37.77713, -121.96076)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Readmission,11.69,35.0,257.0,As Expected,"(37.951975, -121.776854)"
2012-2013,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Mortality,7.62,27.0,270.0,As Expected,"(37.951975, -121.776854)"
2012-2013,Del Norte,Sutter Coast Hospital,106084001,30-day Readmission,13.49,12.0,104.0,As Expected,"(41.77278, -124.19514)"
2012-2013,Del Norte,Sutter Coast Hospital,106084001,30-day Mortality,9.55,11.0,111.0,As Expected,"(41.77278, -124.19514)"
2012-2013,El Dorado,Barton Memorial Hospital,106090793,30-day Mortality,8.39,2.0,31.0,As Expected,"(38.91224, -119.99784)"
2012-2013,El Dorado,Marshall Medical Center,106090933,30-day Readmission,10.07,16.0,163.0,As Expected,"(38.72557326, -120.7909638)"
2012-2013,El Dorado,Marshall Medical Center,106090933,30-day Mortality,9.84,26.0,177.0,As Expected,"(38.72557326, -120.7909638)"
2012-2013,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,10.93,22.0,213.0,As Expected,"(36.83745, -119.66072)"
2012-2013,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,12.19,23.0,218.0,As Expected,"(36.83745, -119.66072)"
2012-2013,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Mortality,13.92,70.0,728.0,Worse,"(36.74253, -119.78324)"
2012-2013,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Readmission,13.48,94.0,690.0,As Expected,"(36.74253, -119.78324)"
2012-2013,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,12.05,89.0,714.0,As Expected,"(36.8370782, -119.7649963)"
2012-2013,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,12.48,86.0,682.0,As Expected,"(36.8370782, -119.7649963)"
2012-2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,10.34,34.0,301.0,As Expected,"(36.84246, -119.7832)"
2012-2013,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,11.64,38.0,316.0,As Expected,"(36.84246, -119.7832)"
2012-2013,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,18.24,10.0,48.0,As Expected,"(40.90351, -124.09038)"
2012-2013,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,10.58,4.0,46.0,As Expected,"(40.90351, -124.09038)"
2012-2013,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,17.64,8.0,34.0,As Expected,"(40.58267, -124.13549)"
2012-2013,Humboldt,Redwood Memorial Hospital,106121051,30-day Readmission,18.53,5.0,31.0,As Expected,"(40.58267, -124.13549)"
2012-2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,9.12,16.0,174.0,As Expected,"(40.7832, -124.14216)"
2012-2013,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,8.7,17.0,185.0,As Expected,"(40.7832, -124.14216)"
2012-2013,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,14.75,33.0,207.0,As Expected,"(32.78138, -115.49824)"
2012-2013,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,8.04,14.0,218.0,As Expected,"(32.78138, -115.49824)"
2012-2013,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,8.26,8.0,133.0,As Expected,"(32.96003, -115.55183)"
2012-2013,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,12.08,14.0,126.0,As Expected,"(32.96003, -115.55183)"
2012-2013,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,14.13,36.0,326.0,As Expected,"(35.39051, -119.00658)"
2012-2013,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,13.61,43.0,310.0,As Expected,"(35.39051, -119.00658)"
2012-2013,Kern,Kern Medical Center,106150736,30-day Readmission,8.76,3.0,40.0,As Expected,"(35.380833, -118.967222)"
2012-2013,Kern,Kern Medical Center,106150736,30-day Mortality,0.0,0.0,40.0,As Expected,"(35.380833, -118.967222)"
2012-2013,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,15.48,28.0,195.0,As Expected,"(35.37323, -119.02715)"
2012-2013,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,12.23,26.0,208.0,As Expected,"(35.37323, -119.02715)"
2012-2013,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,15.01,5.0,30.0,As Expected,"(35.6404, -117.66996)"
2012-2013,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,12.78,70.0,694.0,As Expected,"(35.383064, -119.018775)"
2012-2013,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,14.0,89.0,669.0,As Expected,"(35.383064, -119.018775)"
2012-2013,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,4.14,3.0,80.0,As Expected,"(35.38619, -119.04314)"
2012-2013,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,6.76,5.0,79.0,As Expected,"(35.38619, -119.04314)"
2012-2013,Kings,Adventist Medical Center,106164029,30-day Readmission,11.21,22.0,199.0,As Expected,"(36.3256247, -119.6683912)"
2012-2013,Kings,Adventist Medical Center,106164029,30-day Mortality,12.42,23.0,211.0,As Expected,"(36.3256247, -119.6683912)"
2012-2013,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,7.43,4.0,55.0,As Expected,"(39.10232, -122.91003)"
2012-2013,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,11.96,9.0,56.0,As Expected,"(39.10232, -122.91003)"
2012-2013,Los Angeles,Alhambra Hospital,106190017,30-day Readmission,8.23,9.0,97.0,As Expected,"(34.08988, -118.1449)"
2012-2013,Los Angeles,Alhambra Hospital,106190017,30-day Mortality,7.53,8.0,101.0,As Expected,"(34.08988, -118.1449)"
2012-2013,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,13.3,57.0,434.0,As Expected,"(34.68928, -118.15767)"
2012-2013,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,12.61,47.0,460.0,As Expected,"(34.68928, -118.15767)"
2012-2013,Los Angeles,Saint Mary Medical Center,106190053,30-day Mortality,8.84,14.0,185.0,As Expected,"(33.7802376, -118.1866412)"
2012-2013,Los Angeles,Saint Mary Medical Center,106190053,30-day Readmission,11.54,24.0,177.0,As Expected,"(33.7802376, -118.1866412)"
2012-2013,Los Angeles,Beverly Hospital,106190081,30-day Readmission,15.6,27.0,148.0,As Expected,"(34.01614, -118.10132)"
2012-2013,Los Angeles,Beverly Hospital,106190081,30-day Mortality,11.52,19.0,161.0,As Expected,"(34.01614, -118.10132)"
2012-2013,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Readmission,18.62,21.0,103.0,As Expected,"(34.02328, -118.39724)"
2012-2013,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Mortality,5.22,4.0,108.0,As Expected,"(34.02328, -118.39724)"
2012-2013,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,9.58,13.0,252.0,As Expected,"(34.03721, -118.26551)"
2012-2013,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,13.87,35.0,243.0,As Expected,"(34.03721, -118.26551)"
2012-2013,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,16.65,85.0,406.0,Worse,"(33.94917, -118.34788)"
2012-2013,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,6.65,15.0,414.0,As Expected,"(33.94917, -118.34788)"
2012-2013,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,5.34,1.0,38.0,As Expected,"(33.98929, -118.22466)"
2012-2013,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,15.22,6.0,38.0,As Expected,"(33.98929, -118.22466)"
2012-2013,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,15.46,7.0,37.0,As Expected,"(34.01897, -118.1875)"
2012-2013,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,3.55,1.0,38.0,As Expected,"(34.01897, -118.1875)"
2012-2013,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,7.0,11.0,142.0,As Expected,"(34.1024, -118.10503)"
2012-2013,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,10.19,15.0,139.0,As Expected,"(34.1024, -118.10503)"
2012-2013,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,17.07,66.0,374.0,Worse,"(33.86016, -118.14837)"
2012-2013,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,12.92,38.0,400.0,As Expected,"(33.86016, -118.14837)"
2012-2013,Los Angeles,Downey Regional Medical Center,106190243,30-day Readmission,13.62,35.0,241.0,As Expected,"(33.93515, -118.13196)"
2012-2013,Los Angeles,Downey Regional Medical Center,106190243,30-day Mortality,10.47,25.0,252.0,As Expected,"(33.93515, -118.13196)"
2012-2013,Los Angeles,Encino Hospital Medical Center,106190280,30-day Readmission,14.81,8.0,41.0,As Expected,"(34.15686, -118.48662)"
2012-2013,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,3.95,3.0,43.0,As Expected,"(34.15686, -118.48662)"
2012-2013,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Readmission,14.91,14.0,106.0,As Expected,"(34.13384, -117.87244)"
2012-2013,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Mortality,9.16,9.0,110.0,As Expected,"(34.13384, -117.87244)"
2012-2013,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,8.1,9.0,97.0,As Expected,"(34.06464, -118.23905)"
2012-2013,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,4.71,3.0,97.0,As Expected,"(34.06464, -118.23905)"
2012-2013,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,5.76,21.0,330.0,Better,"(34.06826, -118.12302)"
2012-2013,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,14.25,51.0,319.0,As Expected,"(34.06826, -118.12302)"
2012-2013,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,13.53,53.0,367.0,As Expected,"(34.14951, -118.23109)"
2012-2013,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,8.79,38.0,383.0,As Expected,"(34.14951, -118.23109)"
2012-2013,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Readmission,23.72,11.0,42.0,As Expected,"(34.04827, -118.04257)"
2012-2013,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Mortality,5.97,2.0,42.0,As Expected,"(34.04827, -118.04257)"
2012-2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,20.13,56.0,253.0,Worse,"(34.09557, -118.29163)"
2012-2013,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,9.62,30.0,272.0,As Expected,"(34.09557, -118.29163)"
2012-2013,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,8.12,32.0,387.0,As Expected,"(34.2791, -118.45951)"
2012-2013,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,12.73,52.0,376.0,As Expected,"(34.2791, -118.45951)"
2012-2013,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.25,28.0,182.0,As Expected,"(34.05324, -118.26522)"
2012-2013,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,5.89,11.0,188.0,As Expected,"(34.05324, -118.26522)"
2012-2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.81,59.0,499.0,As Expected,"(34.13565, -118.1518)"
2012-2013,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,9.8,53.0,513.0,As Expected,"(34.13565, -118.1518)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,14.59,23.0,157.0,As Expected,"(34.08993, -117.89264)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,5.4,7.0,158.0,As Expected,"(34.08993, -117.89264)"
2012-2013,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,15.14,81.0,543.0,As Expected,"(33.81258, -118.34388)"
2012-2013,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,10.79,68.0,568.0,As Expected,"(33.81258, -118.34388)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Readmission,13.26,54.0,400.0,As Expected,"(34.09823, -118.29545)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Mortality,10.53,29.0,419.0,As Expected,"(34.09823, -118.29545)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,13.98,42.0,250.0,As Expected,"(33.789, -118.29415)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,12.29,30.0,267.0,As Expected,"(33.789, -118.29415)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,14.67,34.0,238.0,As Expected,"(34.21975, -118.43009)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,18.28,34.0,250.0,Worse,"(34.21975, -118.43009)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,13.86,47.0,310.0,As Expected,"(34.03793, -118.37568)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,9.74,17.0,313.0,As Expected,"(34.03793, -118.37568)"
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.55,69.0,512.0,As Expected,"(33.83767, -118.35708)"
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,11.75,55.0,550.0,As Expected,"(33.83767, -118.35708)"
2012-2013,Los Angeles,Community Hospital of Long Beach,106190475,30-day Readmission,5.67,3.0,49.0,As Expected,"(33.78871, -118.14578)"
2013-2014,San Diego,Alvarado Hospital,106370652,30-day Mortality,10.94,149.0,19.0,As Expected,"(32.77708, -117.05683)"
2012-2013,Los Angeles,Community Hospital of Long Beach,106190475,30-day Mortality,7.21,4.0,50.0,As Expected,"(33.78871, -118.14578)"
2012-2013,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,11.31,9.0,82.0,As Expected,"(33.98125, -118.43971)"
2012-2013,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,8.16,6.0,83.0,As Expected,"(33.98125, -118.43971)"
2012-2013,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,13.71,35.0,248.0,As Expected,"(34.16985, -118.53136)"
2012-2013,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,7.31,23.0,260.0,As Expected,"(34.16985, -118.53136)"
2012-2013,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,15.28,14.0,87.0,As Expected,"(33.89246, -118.29493)"
2012-2013,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,5.73,3.0,90.0,As Expected,"(33.89246, -118.29493)"
2012-2013,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,15.83,23.0,149.0,As Expected,"(34.1284, -118.25769)"
2012-2013,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,8.53,11.0,155.0,As Expected,"(34.1284, -118.25769)"
2012-2013,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Readmission,11.16,6.0,43.0,As Expected,"(34.22138, -118.45639)"
2012-2013,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Mortality,2.5,1.0,44.0,As Expected,"(34.22138, -118.45639)"
2012-2013,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,13.81,84.0,632.0,As Expected,"(33.80801, -118.1852)"
2012-2013,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,11.99,62.0,669.0,As Expected,"(33.80801, -118.1852)"
2012-2013,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,13.55,78.0,545.0,As Expected,"(34.13603, -118.03879)"
2012-2013,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,11.73,78.0,567.0,As Expected,"(34.13603, -118.03879)"
2012-2013,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,14.74,14.0,78.0,As Expected,"(34.05754, -118.36008)"
2012-2013,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,5.63,5.0,80.0,As Expected,"(34.05754, -118.36008)"
2012-2013,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,10.61,5.0,44.0,As Expected,"(34.05308, -118.13665)"
2012-2013,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,8.44,5.0,49.0,As Expected,"(34.05308, -118.13665)"
2012-2013,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,16.28,122.0,727.0,Worse,"(34.07681, -118.38061)"
2012-2013,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,6.51,56.0,759.0,Better,"(34.07681, -118.38061)"
2012-2013,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,10.83,33.0,306.0,As Expected,"(34.22075, -118.53186)"
2012-2013,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,9.52,34.0,315.0,As Expected,"(34.22075, -118.53186)"
2012-2013,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Readmission,12.42,6.0,35.0,As Expected,"(33.80759, -118.19355)"
2012-2013,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Mortality,5.28,2.0,35.0,As Expected,"(33.80759, -118.19355)"
2012-2013,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,11.13,61.0,578.0,As Expected,"(34.07852, -117.75234)"
2012-2013,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,11.63,61.0,552.0,As Expected,"(34.07852, -117.75234)"
2012-2013,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,9.98,56.0,542.0,As Expected,"(33.96775, -118.04671)"
2012-2013,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,10.15,62.0,560.0,As Expected,"(33.96775, -118.04671)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Mortality,9.46,25.0,305.0,As Expected,"(34.06242, -117.94528)"
2012-2013,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Readmission,15.04,43.0,296.0,As Expected,"(34.06242, -117.94528)"
2012-2013,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,13.81,8.0,68.0,As Expected,"(34.09922, -117.83218)"
2012-2013,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,18.75,12.0,67.0,As Expected,"(34.09922, -117.83218)"
